region,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03
Total,11331,11887,24872,31077,38924,36893,21505,23583,27967,34917,27824,22820,2004,13863,13459,8356,12210,28446,12364,19308,11785,14605,24867,20383,10891,5700,18896,19841,22434,13009,8342,7098,8989,17521,10795,13968,8108,7800,13452,10607,20518,18390,13606,16282,6636,24121,16780,16359,2106,8106,8999,12980,27803,18161,43629,16314,14100,17553,23964,32371,8223,14982,20344,17280,13152,21693,14248,11378,15172,17840,30984,33221,15625,12888,12163
Seoul,482,762,1276,839,710,1916,268,1363,3631,1667,2269,1077,104,460,468,313,1610,4086,1896,807,1867,3952,1369,337,41,2415,649,149,1174,2306,0,383,132,232,1017,356,730,1009,1881,1449,1794,2631,426,432,714,367,843,1057,0,67,242,1100,573,993,10807,0,0,102,99,1178,234,831,55,281,360,48,86,349,593,77,202,60,433,424,464
Incheon,0,418,380,0,1034,674,2718,1534,2591,889,0,1357,0,3146,0,0,1882,4013,127,2148,0,0,0,0,88,0,2348,0,684,616,0,420,0,5242,1284,2365,1238,1691,3655,0,1971,1380,0,1215,0,7308,4828,5710,0,1950,2530,96,6828,3139,2154,0,354,0,0,6312,1409,977,104,2848,1772,153,812,1009,0,1891,3725,2373,1114,1786,2455
Gyeonggi,0,1740,11387,9038,17271,14526,11331,8091,11181,15364,10010,7537,616,3729,3209,650,6512,10643,4007,4962,3575,4186,4105,7824,2948,1194,10785,7101,9313,4632,2790,1385,1239,3014,4927,7225,288,2220,1240,3994,5896,6747,3851,7946,1556,3438,3458,3134,1795,2996,2592,4965,7633,6614,7012,9382,4445,9434,9938,7662,3842,5614,3166,4170,3465,8463,2186,3645,6869,4145,6358,6676,4437,5541,5042
Busan,210,845,1557,1104,2882,1335,621,855,117,1191,980,2179,0,932,382,0,264,511,1637,1372,2936,2836,3647,0,0,0,834,548,2342,469,471,1620,3345,2310,160,0,0,0,256,0,2327,2216,640,613,1532,2683,1502,515,0,631,0,1214,2334,224,4554,0,0,210,0,1301,105,0,0,0,219,656,0,456,0,1190,144,2522,0,544,725
Daegu,305,262,2045,206,0,610,1993,698,0,0,774,0,0,0,0,745,0,617,0,0,333,0,603,627,283,527,943,1773,2395,1653,1893,197,1791,1533,962,2063,2555,0,881,969,4321,1985,1576,695,302,2023,1211,2765,0,656,566,1844,2940,511,9016,481,1124,1816,1613,2032,270,2702,3360,450,608,3309,978,526,941,1060,1849,2883,0,1880,424
Gwangju,301,64,460,2072,512,745,0,1527,755,0,1390,591,0,76,2207,218,312,506,0,460,553,1739,1760,0,388,0,0,0,0,132,544,0,0,713,172,1060,68,0,0,56,1297,558,2416,851,0,0,1720,1634,0,0,0,97,1011,995,0,0,1779,0,315,992,305,70,213,0,103,294,49,373,0,155,385,418,196,0,0
Daejeon,0,0,0,301,0,0,0,0,237,1139,662,0,0,964,0,0,0,0,650,0,0,205,0,1320,231,0,0,414,0,0,0,0,136,1757,0,0,442,0,2044,0,0,820,1096,816,715,1441,0,0,0,0,0,1349,955,0,0,0,1747,0,998,0,0,418,0,336,613,316,0,0,934,304,0,743,1761,0,0
Ulsan,0,0,0,3059,0,0,0,0,0,1095,1234,2249,0,544,0,0,0,420,0,0,0,210,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,635,0,116,0,0,0,0,2687,295,487,1966,99,0,0,0,136,0,924,1082,0,303,0,0,0,0,0,967,0,0,447
Sejong,0,0,0,1557,0,773,0,548,2337,1703,345,1904,0,0,0,672,0,0,0,290,0,0,0,2795,528,0,0,3871,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,127,0,1350,0,0,0,0,0,1350,0,0,0,0,660,0,0,0
Gangwon,1998,0,1239,0,1515,2307,232,2018,651,4861,879,2038,881,1462,670,0,0,706,1160,2516,206,379,3387,721,3602,0,1175,202,788,499,479,587,370,480,588,0,1556,0,2813,374,214,267,1029,0,301,0,660,0,0,578,0,525,0,0,1783,426,0,0,907,922,0,580,920,161,431,639,1441,0,2204,2178,500,326,0,0,234
"Chungcheong, North",306,0,88,2662,2338,577,0,786,0,246,1114,0,0,1599,1611,2613,0,2593,170,0,1407,0,1000,0,0,172,1112,1466,1041,894,1210,0,0,0,284,0,0,90,0,0,489,150,0,197,451,1148,770,201,0,0,1105,0,0,562,0,2415,0,0,2469,2421,0,1215,2450,711,0,1082,987,0,0,0,0,2409,3040,0,0
"Chungcheong, South",2687,182,0,1289,471,1453,60,814,0,369,337,498,174,0,480,0,0,2659,0,2562,0,72,933,482,252,0,0,64,1734,1335,72,0,0,0,0,0,0,2267,136,0,88,381,1577,1378,381,835,136,173,0,682,0,1554,0,1989,4287,1031,2696,1147,2415,2858,0,831,4739,1984,631,2164,2426,2714,0,1120,3092,1594,3341,853,0
"Jeonla, North",328,713,2449,165,1084,248,2558,1168,1134,0,1290,55,0,417,1376,0,505,48,198,1466,200,405,1992,1148,0,532,126,2064,435,0,598,331,96,338,167,0,152,0,48,2400,188,0,123,0,0,1716,1282,0,0,0,0,43,392,386,0,0,1587,848,1224,1405,378,0,0,0,974,794,454,188,218,0,3350,2546,0,0,878
"Jeonla, South",0,60,1027,103,47,1928,214,0,0,2124,414,380,0,310,323,0,0,0,49,0,114,434,2422,2450,794,233,0,671,310,0,0,0,739,0,1188,0,88,116,60,599,122,975,872,2004,391,1478,141,1054,99,498,1964,96,846,163,1114,613,269,818,404,655,194,0,565,282,0,0,705,1893,238,441,1077,2398,404,374,140
"Gyeongsang, North",272,1730,1144,553,2272,983,0,2488,2277,868,1785,0,101,0,279,371,657,1500,154,272,256,0,913,0,1736,0,68,0,2108,0,0,1970,975,1544,0,0,863,258,0,50,0,0,0,135,79,0,0,0,0,0,0,0,0,0,376,0,0,1314,3455,4268,0,631,0,2192,614,2843,1305,0,2181,1908,6239,5282,899,255,0
"Gyeongsang, South",4360,5031,1820,7475,8512,8548,1426,1465,2817,3233,4302,2700,0,0,2314,2644,468,84,2261,2222,292,0,2535,1335,0,545,856,1518,0,405,0,103,104,358,0,814,0,0,438,121,1712,0,0,0,0,1049,229,0,0,0,0,97,1565,2290,1960,0,0,1406,0,365,0,1113,3564,2783,3362,629,1469,225,994,3202,3936,1279,0,784,1093
Jeju,82,80,0,654,276,270,84,228,239,168,39,255,128,224,140,130,0,60,55,231,46,187,201,188,0,82,0,0,110,68,285,102,62,0,46,85,128,149,0,130,99,280,0,0,0,0,0,0,212,48,0,0,39,0,79,0,0,0,0,0,0,0,284,0,0,0,0,0,0,169,127,85,0,447,261
